sample,mg_kg_NO3N,location,rep,plot,treatment,gwc,timepoint,mg_kg_NH4N,minN,pH
209,5.657830519,Rubona,2,9,Desmodium + Brachiaria,0.080882353,Harvest 2,0.323069474,5.980899993,5.5
210,0.569247057,Rubona,2,10,Napier grass,0.072961373,Harvest 2,0.284311889,0.853558946,5.7
211,5.765290482,Rubona,2,11,Desmodium + Napier,0.074179743,Harvest 2,0.308627525,6.073918007,5.5
212,5.489863624,Rubona,2,12,Desmodium,0.08320951,Harvest 2,0.231063897,5.720927521,5.41
213,5.393165739,Rubona,2,13,Brachiaria cv. Mulato II,0.081513828,Harvest 2,0.282810825,5.675976564,5.5
214,3.7013412,Rubona,2,14,Maize monocrop,0.077147016,Harvest 2,0.375968547,4.077309747,5.67
215,7.689834205,Rubona,3,15,Brachiaria cv. Mulato II,0.089285714,Harvest 2,0.293261044,7.983095249,5.45
216,16.04961798,Rubona,3,16,Desmodium,0.098214286,Harvest 2,0.238107015,16.287725,5.4
217,4.498179575,Rubona,3,17,Desmodium + maize,0.080882353,Harvest 2,0.232421988,4.730601563,5.5
218,4.210575714,Rubona,3,18,Desmodium + Brachiaria,0.076149425,Harvest 2,0.228200982,4.438776696,5.54
219,5.870617728,Rubona,3,19,Maize monocrop,0.09375,Harvest 2,0.229049072,6.0996668,5.47
220,8.612784089,Rubona,3,20,Desmodium + Napier,0.096240602,Harvest 2,0.245365774,8.858149863,5.71
221,6.484201181,Rubona,3,21,Napier grass,0.087149188,Harvest 2,0.288193505,6.772394686,5.77
222,5.340422499,Rubona,4,22,Desmodium + Brachiaria,0.078055965,Harvest 2,0.329038488,5.669460987,5.84
223,6.083215223,Rubona,4,23,Maize monocrop,0.082717873,Harvest 2,0.285067385,6.368282608,5.65
224,8.684355246,Rubona,4,24,Desmodium,0.079295154,Harvest 2,0.24861337,8.932968616,5.48
225,3.11108597,Rubona,4,25,Napier grass,0.082352941,Harvest 2,0.285409035,3.396495005,5.49
226,3.975753947,Rubona,4,26,Desmodium + Napier,0.081991215,Harvest 2,0.311544171,4.287298118,5.57
227,4.954108484,Rubona,4,27,Brachiaria cv. Mulato II,0.067919075,Harvest 2,0.339142663,5.293251147,5.64
228,6.458926187,Rubona,4,28,Desmodium + maize,0.071637427,Harvest 2,0.279722918,6.738649105,5.64
229,16.43810174,Karama,1,1,Brachiaria cv. Mulato II,0.098792536,Harvest 2,0.281554663,16.7196564,5.75
230,10.80556603,Karama,1,2,Napier grass,0.085590466,Harvest 2,0.248435078,11.05400111,5.83
231,14.63105474,Karama,1,3,Desmodium,0.085963003,Harvest 2,0.142701278,14.77375602,5.76
232,11.81964237,Karama,1,4,Maize monocrop,0.082340195,Harvest 2,0.618352022,12.43799439,5.89
233,17.92094027,Karama,1,5,Desmodium + maize,0.200721154,Harvest 2,0.210995005,18.13193528,5.99
234,13.80764493,Karama,1,6,Desmodium + Brachiaria,0.090710383,Harvest 2,0.167935562,13.97558049,6.12
235,11.30351382,Karama,1,7,Desmodium + Napier,0.080906149,Harvest 2,0.225911041,11.52942486,6.27
