sample,mg_kg_NO3N,location,rep,plot,treatment,gwc,timepoint,mg_kg_NH4N,minN,pH
402,11.01464596,Rubona,1,2,Napier grass,0.133076181,Harvest 4,0.252442526,11.26708849,5.35
403,8.522888204,Rubona,1,3,Desmodium,0.127310062,Harvest 4,0.144811843,8.667700047,5.26
404,6.352971963,Rubona,1,4,Maize monocrop,0.124877089,Harvest 4,0.186434928,6.539406891,5.35
405,9.130697243,Rubona,1,5,Desmodium + maize,0.146169355,Harvest 4,0.210988715,9.341685958,5.44
406,8.931725205,Rubona,1,6,Desmodium + Brachiaria,0.144941634,Harvest 4,0.184012072,9.115737277,5.39
407,4.723163983,Rubona,1,7,Desmodium + Napier,0.108782435,Harvest 4,0.134852502,4.858016485,5.33
408,9.993582554,Rubona,2,8,Desmodium + maize,0.125124131,Harvest 4,0.138062825,10.13164538,5.25
409,10.8110628,Rubona,2,9,Desmodium + Brachiaria,0.124242424,Harvest 4,0.179646253,10.99070905,5.15
410,7.544570662,Rubona,2,10,Napier grass,0.110258869,Harvest 4,0.204110333,7.748680995,5.29
411,9.285814185,Rubona,2,11,Desmodium + Napier,0.120574163,Harvest 4,0.188271941,9.474086126,5.26
412,6.906702459,Rubona,2,12,Desmodium,0.120812183,Harvest 4,0.134626951,7.04132941,5.35
413,8.207608565,Rubona,2,13,Brachiaria cv. Mulato II,0.129719264,Harvest 4,0.116075508,8.323684073,5.26
414,6.77049321,Rubona,2,14,Maize monocrop,0.12371134,Harvest 4,0.141998408,6.912491618,5.31
415,17.35468005,Rubona,3,15,Brachiaria cv. Mulato II,0.138634047,Harvest 4,0.274277913,17.62895796,5.2
416,9.37534822,Rubona,3,16,Desmodium,0.148619958,Harvest 4,0.105407644,9.480755864,5.15
417,9.663907232,Rubona,3,17,Desmodium + maize,0.141187926,Harvest 4,0.122692679,9.786599911,5.31
418,9.826387526,Rubona,3,18,Desmodium + Brachiaria,0.147325933,Harvest 4,0.267850473,10.094238,5.19
419,7.587629933,Rubona,3,19,Maize monocrop,0.143451143,Harvest 4,0.170580116,7.758210049,5.25
420,12.26039107,Rubona,3,20,Desmodium + Napier,0.175858481,Harvest 4,0.158606392,12.41899746,5.52
421,8.503173205,Rubona,3,21,Napier grass,0.138339921,Harvest 4,0.196648568,8.699821773,5.59
422,5.601353197,Rubona,4,22,Desmodium + Brachiaria,0.119725221,Harvest 4,0.070466512,5.671819709,5.42
423,4.735305792,Rubona,4,23,Maize monocrop,0.090558767,Harvest 4,0.135897454,4.871203246,5.45
424,6.943118093,Rubona,4,24,Desmodium,0.113432836,Harvest 4,0.340879002,7.283997095,5.13
425,6.620353029,Rubona,4,25,Napier grass,0.103448276,Harvest 4,0.246429731,6.86678276,5.22
426,8.488663912,Rubona,4,26,Desmodium + Napier,0.107892108,Harvest 4,0.198869104,8.687533016,5.35
427,10.61170116,Rubona,4,27,Brachiaria cv. Mulato II,0.123420797,Harvest 4,0.207606257,10.81930742,5.44
428,8.769436682,Rubona,4,28,Desmodium + maize,0.115459883,Harvest 4,0.109872767,8.879309449,5.37
429,7.701002775,Karama,1,1,Brachiaria cv. Mulato II,0.147031103,Harvest 4,1.319678335,9.02068111,5.9
430,7.39750761,Karama,1,2,Napier grass,0.122823098,Harvest 4,1.401039992,8.798547602,5.61
431,10.15631203,Karama,1,3,Desmodium,0.11942959,Harvest 4,1.098148053,11.25446008,5.54
432,8.257148958,Karama,1,4,Maize monocrop,0.087565674,Harvest 4,0.659309758,8.916458716,5.94
433,9.991247418,Karama,1,5,Desmodium + maize,0.112115732,Harvest 4,0.752942394,10.74418981,5.87
434,8.790565238,Karama,1,6,Desmodium + Brachiaria,0.120218579,Harvest 4,0.866268501,9.656833739,5.76
435,9.993695379,Karama,1,7,Desmodium + Napier,0.120073327,Harvest 4,1.139151304,11.13284668,5.89
436,25.20626064,Karama,2,8,Desmodium + maize,0.118566176,Harvest 4,0.518742701,25.72500334,5.94
437,12.16524928,Karama,2,9,Desmodium + Brachiaria,0.139925373,Harvest 4,1.051612221,13.2168615,6.04
438,9.886801751,Karama,2,10,Napier grass,0.106884058,Harvest 4,1.666617608,11.55341936,5.81
439,7.760101854,Karama,2,11,Desmodium + Napier,0.110607434,Harvest 4,1.248525628,9.008627482,5.84
440,11.56667454,Karama,2,12,Desmodium,0.126940639,Harvest 4,0.957649117,12.52432366,5.61
441,8.240171801,Karama,2,13,Brachiaria cv. Mulato II,0.12010919,Harvest 4,1.056442252,9.296614053,6.1
442,8.793859128,Karama,2,14,Maize monocrop,0.102096627,Harvest 4,0.723209126,9.517068254,6.38
443,8.221302795,Karama,3,15,Brachiaria cv. Mulato II,0.140035907,Harvest 4,0.759481004,8.980783799,6
444,13.68498638,Karama,3,16,Desmodium,0.15048976,Harvest 4,1.209058701,14.89404508,5.63
445,13.1900039,Karama,3,17,Desmodium + maize,0.119113573,Harvest 4,0.918859992,14.10886389,6.03
446,11.55506593,Karama,3,18,Desmodium + Brachiaria,0.1228223,Harvest 4,0.565600062,12.12066599,6.01
447,10.89081122,Karama,3,19,Maize monocrop,0.112554113,Harvest 4,0.618134093,11.50894531,6.13
448,9.381766248,Karama,3,20,Desmodium + Napier,0.127399651,Harvest 4,2.102154926,11.48392117,6.06
449,9.261699882,Karama,3,21,Napier grass,0.143114311,Harvest 4,1.680784995,10.94248488,5.99
450,11.12980191,Karama,4,22,Desmodium + Brachiaria,0.124783362,Harvest 4,1.213560865,12.34336278,5.8
451,9.829159416,Karama,4,23,Maize monocrop,0.111716621,Harvest 4,0.894991908,10.72415132,6.05
452,9.064292812,Karama,4,24,Desmodium,0.129411765,Harvest 4,0.6191503,9.683443112,6.21
453,4.251974118,Karama,4,25,Napier grass,0.122429907,Harvest 4,1.182017077,5.433991195,6.06
454,5.414130632,Karama,4,26,Desmodium + Napier,0.117481203,Harvest 4,1.859331861,7.273462493,6.02
455,12.74669409,Karama,4,27,Brachiaria cv. Mulato II,0.142600897,Harvest 4,1.289333223,14.03602731,6.11
456,11.01534914,Karama,4,28,Desmodium + maize,0.127957932,Harvest 4,0.956034693,11.97138383,6.12
