sample,location,treatment,species,timepoint,block
313R,Burera,Maize monocrop,Maize,2,4
314R,Burera,Desmodium,Desmodium,2,4
315R,Burera,Napier,Napier,2,4
316R,Burera,Napier + Desmodium,Desmodium,2,4
317R,Burera,Napier + Desmodium,Napier,2,4
318R,Burera,Brachiaria v. Mulato II ,Brachiaria,2,4
319R,Burera,Desmodium + maize,Desmodium,2,4
320R,Burera,Desmodium + maize,Maize,2,4
401R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,3,1
402R,Rubona,Napier ,Napier,3,1
403R,Rubona,Desmodium ,Desmodium,3,1
404R,Rubona,Maize monocrop ,Maize,3,1
405R,Rubona,Desmodium + maize,Desmodium,3,1
406R,Rubona,Desmodium + maize,Maize,3,1
407R,Rubona,Desmodium + Brachiaria ,Desmodium,3,1
408R,Rubona,Desmodium + Brachiaria ,Brachiaria,3,1
409R,Rubona,Napier + Desmodium,Desmodium,3,1
410R,Rubona,Napier + Desmodium,Napier,3,1
411R,Rubona,Desmodium + maize,Desmodium,3,2
412R,Rubona,Desmodium + maize,Maize,3,2
413R,Rubona,Desmodium + Brachiaria ,Desmodium,3,2
414R,Rubona,Desmodium + Brachiaria ,Brachiaria,3,2
415R,Rubona,Napier,Napier,3,2
416R,Rubona,Napier + Desmodium,Desmodium,3,2
417R,Rubona,Napier + Desmodium,Napier,3,2
418R,Rubona,Desmodium,Desmodium,3,2
419R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,3,2
420R,Rubona,Maize,Maize,3,2
421R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,3,3
422R,Rubona,Desmodium,Desmodium,3,3
423R,Rubona,Desmodium + maize,Desmodium,3,3
424R,Rubona,Desmodium + maize,Maize,3,3
425R,Rubona,Desmodium + Brachiaria,Desmodium,3,3
426R,Rubona,Desmodium + Brachiaria,Brachiaria,3,3
427R,Rubona,Maize monocrop,Maize,3,3
428R,Rubona,Napier + Desmodium,Desmodium,3,3
429R,Rubona,Napier + Desmodium,Napier,3,3
430R,Rubona,Napier,Napier,3,3
431R,Rubona,Desmodium + Brachiaria,Desmodium,3,4
432R,Rubona,Desmodium + Brachiaria,Brachiaria,3,4
433R,Rubona,Maize monocrop,Maize,3,4
434R,Rubona,Desmodium,Desmodium,3,4
435R,Rubona,Napier,Napier,3,4
436R,Rubona,Napier + Desmodium,Desmodium,3,4
437R,Rubona,Napier + Desmodium,Napier,3,4
438R,Rubona,Brachiaria v. Mulato II ,Brachiaria,3,4
439R,Rubona,Desmodium + maize,Desmodium,3,4
440R,Rubona,Desmodium + maize,Maize,3,4
441R,Karama,Brachiaria cv. Mulato II ,Brachiaria,3,1
442R,Karama,Napier ,Napier,3,1
443R,Karama,Desmodium ,Desmodium,3,1
444R,Karama,Maize monocrop ,Maize,3,1
445R,Karama,Desmodium + maize,Desmodium,3,1
446R,Karama,Desmodium + maize,Maize,3,1
447R,Karama,Desmodium + Brachiaria ,Desmodium,3,1
448R,Karama,Desmodium + Brachiaria ,Brachiaria,3,1
449R,Karama,,,,1
450R,Karama,Napier + Desmodium,Napier,3,1
451R,Karama,Desmodium + maize,Desmodium,3,2
452R,Karama,Desmodium + maize,Maize,3,2
453R,Karama,Desmodium + Brachiaria ,Desmodium,3,2
454R,Karama,Desmodium + Brachiaria ,Brachiaria,3,2
455R,Karama,Napier,Napier,3,2
456R,Karama,Napier + Desmodium,Desmodium,3,2
457R,Karama,Napier + Desmodium,Napier,3,2
458R,Karama,Desmodium,Desmodium,3,2
459R,Karama,Brachiaria cv. Mulato II ,Brachiaria,3,2
460R,Karama,Maize,Maize,3,2
461R,Karama,Brachiaria cv. Mulato II ,Brachiaria,3,3
462R,Karama,Desmodium,Desmodium,3,3
463R,Karama,Desmodium + maize,Desmodium,3,3
464R,Karama,Desmodium + maize,Maize,3,3
465R,Karama,Desmodium + Brachiaria,Desmodium,3,3
466R,Karama,Desmodium + Brachiaria,Brachiaria,3,3
467R,Karama,Maize monocrop,Maize,3,3
468R,Karama,Napier + Desmodium,Desmodium,3,3
469R,Karama,Napier + Desmodium,Napier,3,3
470R,Karama,Napier,Napier,3,3
471R,Karama,Desmodium + Brachiaria,Desmodium,3,4
472R,Karama,Desmodium + Brachiaria,Brachiaria,3,4
473R,Karama,Maize monocrop,Maize,3,4
474R,Karama,Desmodium,Desmodium,3,4
475R,Karama,Napier,Napier,3,4
476R,Karama,Napier + Desmodium,Desmodium,3,4
477R,Karama,Napier + Desmodium,Napier,3,4
478R,Karama,Brachiaria v. Mulato II ,Brachiaria,3,4
479R,Karama,Desmodium + maize,Desmodium,3,4
480R,Karama,Desmodium + maize,Maize,3,4
481R,Burera,Brachiaria cv. Mulato II ,Brachiaria,3,1
482R,Burera,Napier ,Napier,3,1
483R,Burera,Desmodium ,Desmodium,3,1
484R,Burera,Maize monocrop ,Maize,3,1
485R,Burera,Desmodium + maize,Desmodium,3,1
486R,Burera,Desmodium + maize,Maize,3,1
487R,Burera,Desmodium + Brachiaria ,Desmodium,3,1
488R,Burera,Desmodium + Brachiaria ,Brachiaria,3,1
489R,Burera,Napier + Desmodium,Desmodium,3,1
490R,Burera,Napier + Desmodium,Napier,3,1
491R,Burera,,,3,2
492R,Burera,Desmodium + maize,Maize,3,2
493R,Burera,Desmodium + Brachiaria ,Desmodium,3,2
494R,Burera,Desmodium + Brachiaria ,Brachiaria,3,2
495R,Burera,Napier,Napier,3,2
496R,Burera,Napier + Desmodium,Desmodium,3,2
497R,Burera,Napier + Desmodium,Napier,3,2
498R,Burera,Desmodium,Desmodium,3,2
499R,Burera,Brachiaria cv. Mulato II ,Brachiaria,3,2
500R,Burera,Maize,Maize,3,2
501R,Burera,Brachiaria cv. Mulato II ,Brachiaria,3,3
502R,Burera,Desmodium,Desmodium,3,3
503R,Burera,Desmodium + maize,Desmodium,3,3
504R,Burera,Desmodium + maize,Maize,3,3
505R,Burera,Desmodium + Brachiaria,Desmodium,3,3
506R,Burera,Desmodium + Brachiaria,Brachiaria,3,3
507R,Burera,Maize monocrop,Maize,3,3
508R,Burera,Napier + Desmodium,Desmodium,3,3
509R,Burera,Napier + Desmodium,Napier,3,3
510R,Burera,Napier,Napier,3,3
511R,Burera,Desmodium + Brachiaria,Desmodium,3,4
512R,Burera,Desmodium + Brachiaria,Brachiaria,3,4
513R,Burera,Maize monocrop,Maize,3,4
514R,Burera,Desmodium,Desmodium,3,4
515R,Burera,Napier,Napier,3,4
516R,Burera,Napier + Desmodium,Desmodium,3,4
517R,Burera,Napier + Desmodium,Napier,3,4
518R,Burera,Brachiaria v. Mulato II ,Brachiaria,3,4
519R,Burera,,,3,4
520R,Burera,Desmodium + maize,Maize,3,4
601R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,4,1
602R,Rubona,Napier ,Napier,4,1
603R,Rubona,Desmodium ,Desmodium,4,1
604R,Rubona,Maize monocrop ,Maize,4,1
605R,Rubona,Desmodium + maize,Desmodium,4,1
606R,Rubona,Desmodium + maize,Maize,4,1
607R,Rubona,Desmodium + Brachiaria ,Desmodium,4,1
608R,Rubona,Desmodium + Brachiaria ,Brachiaria,4,1
609R,Rubona,Napier + Desmodium,Desmodium,4,1
610R,Rubona,Napier + Desmodium,Napier,4,1
611R,Rubona,Desmodium + maize,Desmodium,4,2
612R,Rubona,Desmodium + maize,Maize,4,2
613R,Rubona,Desmodium + Brachiaria ,Desmodium,4,2
614R,Rubona,Desmodium + Brachiaria ,Brachiaria,4,2
615R,Rubona,Napier,Napier,4,2
616R,Rubona,Napier + Desmodium,Desmodium,4,2
617R,Rubona,Napier + Desmodium,Napier,4,2
618R,Rubona,Desmodium,Desmodium,4,2
619R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,4,2
620R,Rubona,Maize,Maize,4,2
621R,Rubona,Brachiaria cv. Mulato II ,Brachiaria,4,3
622R2,Rubona,Desmodium,Desmodium,4,3
622R1,Rubona,Desmodium,Desmodium,4,3
623R,Rubona,Desmodium + maize,Desmodium,4,3
