sample,gwc,moist_soil,truesoil,location,rep,plot,treatment,timepoint,pH
244,0.089227421,9.99,9.098618063,Karama,3,16,Desmodium,2,5.83
245,0.083333333,10.04,9.203333333,Karama,3,17,Desmodium + maize ,2,6.66
246,0.092896175,9.95,9.02568306,Karama,3,18,Desmodium + Brachiaria ,2,6.7
247,0.089130435,10.01,9.117804348,Karama,3,19,Maize monocrop,2,6.47
248,0.113207547,10.02,8.885660377,Karama,3,20,Desmodium + Napier,2,6.27
249,0.093201754,10,9.067982456,Karama,3,21,Napier grass,2,6.21
250,0.098792536,10.03,9.039110867,Karama,4,22,Desmodium + Brachiaria ,2,5.99
251,0.086862106,10.01,9.140510315,Karama,4,23,Maize monocrop,2,6.06
252,0.073875803,9.95,9.21493576,Karama,4,24,Desmodium,2,6.16
253,0.106312292,10.03,8.963687708,Karama,4,25,Napier grass,2,6.09
254,0.103524229,10.04,9.00061674,Karama,4,26,Desmodium + Napier,2,5.96
255,0.103410341,9.97,8.9389989,Karama,4,27,Brachiaria cv. Mulato II ,2,6.03
256,0.090710383,10,9.092896175,Karama,4,28,Desmodium + maize ,2,6.26
257,0.195195195,9.99,8.04,Burera,1,1,Brachiaria cv. Mulato II ,2,4.71
258,0.240677966,9.98,7.578033898,Burera,1,2,Napier grass,2,4.63
259,0.214057508,9.99,7.851565495,Burera,1,3,Desmodium ,2,4.38
260,0.193624557,9.99,8.055690673,Burera,1,4,Maize monocrop ,2,4.43
261,0.221854305,9.99,7.773675497,Burera,1,5,Desmodium + maize ,2,4.34
262,0.213930348,10.02,7.87641791,Burera,1,6,Desmodium + Brachiaria ,2,4.43
263,0.204918033,9.98,7.934918033,Burera,1,7,Desmodium + Napier,2,4.32
264,0.205997392,10.02,7.955906128,Burera,2,8,Desmodium + maize ,2,4.61
265,0.182985554,10.03,8.194654896,Burera,2,9,Desmodium + Brachiaria ,2,4.72
266,0.209973753,10.03,7.923963255,Burera,2,10,Napier grass,2,4.55
267,0.212658228,10.05,7.91278481,Burera,2,11,Desmodium + Napier,2,4.57
268,0.22327044,9.97,7.743993711,Burera,2,12,Desmodium,2,4.4
269,0.204398448,9.95,7.916235446,Burera,2,13,Brachiaria cv. Mulato II ,2,4.61
270,0.205405405,10.01,7.953891892,Burera,2,14,Maize monocrop,2,4.66
271,0.198707593,9.95,7.972859451,Burera,3,15,Brachiaria cv. Mulato II ,2,4.29
272,0.195443645,9.95,8.005335731,Burera,3,16,Desmodium,2,4.31
273,0.208264463,9.97,7.893603306,Burera,3,17,Desmodium + maize ,2,4.49
274,0.216621253,10.03,7.857288828,Burera,3,18,Desmodium + Brachiaria ,2,4.41
275,0.183353438,10.01,8.174632087,Burera,3,19,Maize monocrop,2,4.52
276,0.205211726,10.04,7.979674267,Burera,3,20,Desmodium + Napier,2,4.37
277,0.214765101,10.01,7.860201342,Burera,3,21,Napier grass,2,4.51
278,0.177033493,10.05,8.270813397,Burera,4,22,Desmodium + Brachiaria ,2,4.52
279,0.187347932,10.05,8.167153285,Burera,4,23,Maize monocrop,2,4.72
280,0.201986755,10.03,8.004072848,Burera,4,24,Desmodium,2,4.58
281,0.141073658,9.98,8.572084894,Burera,4,25,Napier grass,2,4.56
282,0.179066835,10,8.209331652,Burera,4,26,Desmodium + Napier,2,4.67
283,0.197712418,9.98,8.006830065,Burera,4,27,Brachiaria cv. Mulato II ,2,4.7
284,0.174876847,10.05,8.292487685,Burera,4,28,Desmodium + maize ,2,4.71
301,0.075381679,10.02,9.264675573,Rubona,1,1,Brachiaria cv. Mulato II ,3,5.35
302,0.076635514,10.04,9.270579439,Rubona,1,2,Napier grass,3,5.41
303,0.076271186,9.96,9.200338983,Rubona,1,3,Desmodium ,3,5.31
304,0.070450098,9.96,9.258317025,Rubona,1,4,Maize monocrop ,3,5.25
305,0.083573487,10.04,9.20092219,Rubona,1,5,Desmodium + maize ,3,5.28
306,0.120197044,9.98,8.780433498,Rubona,1,6,Desmodium + Brachiaria ,3,5.48
307,0.080708661,10,9.192913386,Rubona,1,7,Desmodium + Napier,3,5.89
308,0.084645669,9.98,9.13523622,Rubona,2,8,Desmodium + maize ,3,5.68
309,0.064102564,9.98,9.34025641,Rubona,2,9,Desmodium + Brachiaria ,3,5.63
310,0.069268293,10,9.307317073,Rubona,2,10,Napier grass,3,5.52
311,0.059165858,10.01,9.417749758,Rubona,2,11,Desmodium + Napier,3,5.37
312,0.061764706,9.96,9.344823529,Rubona,2,12,Desmodium,3,5.18
313,0.065913371,9.97,9.312843691,Rubona,2,13,Brachiaria cv. Mulato II ,3,5.26
314,0.075386013,10.02,9.264632153,Rubona,2,14,Maize monocrop,3,5.25
315,0.080340265,10.03,9.224187146,Rubona,3,15,Brachiaria cv. Mulato II ,3,5.32
316,0.096806387,10.04,9.068063872,Rubona,3,16,Desmodium,3,5.17
317,0.093161546,9.99,9.059316155,Rubona,3,17,Desmodium + maize ,3,5.11
318,0.073076923,10.01,9.2785,Rubona,3,18,Desmodium + Brachiaria ,3,5.24
319,0.085798817,9.95,9.096301775,Rubona,3,19,Maize monocrop,3,5.24
320,0.08460076,9.98,9.135684411,Rubona,3,20,Desmodium + Napier,3,5.52
321,0.085170341,10.02,9.166593186,Rubona,3,21,Napier grass,3,5.53
322,0.062317429,9.98,9.358072055,Rubona,4,22,Desmodium + Brachiaria ,3,5.59
323,0.07135778,10,9.2864222,Rubona,4,23,Maize monocrop,3,5.4
324,0.057251908,9.97,9.399198473,Rubona,4,24,Desmodium,3,5.18
325,0.07063197,10,9.293680297,Rubona,4,25,Napier grass,3,5.22
326,0.063848921,10.01,9.370872302,Rubona,4,26,Desmodium + Napier,3,5.39
327,0.0625,10.05,9.421875,Rubona,4,27,Brachiaria cv. Mulato II ,3,5.33
328,0.12142152,10.04,8.820927937,Rubona,4,28,Desmodium + maize ,3,5.29
329,0.165952891,9.98,8.32379015,Karama,1,1,Brachiaria cv. Mulato II ,3,5.42
330,0.167019027,9.95,8.288160677,Karama,1,2,Napier grass ,3,5.84
331,0.141509434,10.01,8.593490566,Karama,1,3,Desmodium ,3,5.89
332,0.16972973,9.95,8.261189189,Karama,1,4,Maize monocrop ,3,6.07
333,0.172774869,10.01,8.28052356,Karama,1,5,Desmodium + maize ,3,5.79
