batch,sample,N.corrected,d15N.corrected,corrected.CN,timepoint,species,rep,plot,treatment,location,intercrop,beta,d15N_ref,ndfa
2,263L,3.23978663,2.012810259,13.34573896,2,Desmodium,3,17,Desmodium + maize,Karama,yes,-1.55,4.557221779,41.66234029
2,222L,3.307756282,3.639051961,12.75956022,2,Desmodium,3,16,Desmodium,Rubona,no,-1.55,4.127350146,8.600811521
2,223L,2.687614765,1.798046395,16.08762804,2,Desmodium,3,17,Desmodium + maize,Rubona,yes,-1.55,4.127350146,41.02800939
2,225L,3.071804619,-0.831024612,14.25823691,2,Desmodium,3,18,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,87.33607459
2,228L,2.768689466,-0.297299182,14.98233151,2,Desmodium,3,20,Desmodium + Napier,Rubona,yes,-1.55,4.127350146,77.93511435
2,231L,3.19950087,-0.585227804,13.63542249,2,Desmodium,4,22,Desmodium + Brachiaria,Rubona,yes,-1.55,4.127350146,83.00664622
3,249L,3.903,-0.415,11.16,2,Desmodium,1,7,Desmodium + Napier,Karama,yes,-1.55,4.557221779,81.41544484
3,251L,3.504,4.158,12.348,2,Desmodium,2,8,Desmodium + maize,Karama,yes,-1.55,4.557221779,6.536880321
3,253L,3.266,1.3,13.362,2,Desmodium,2,9,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,53.33393639
3,256L,3.012,0.192,14.347,2,Desmodium,2,11,Desmodium + Napier,Karama,yes,-1.55,4.557221779,71.476392
3,258L,3.089,3.801,13.758,2,Desmodium,2,12,Desmodium,Karama,no,-1.55,4.557221779,12.38241882
3,262L,3.159,3.986,13.832,2,Desmodium,3,16,Desmodium,Karama,no,-1.55,4.557221779,9.353218195
3,265L,2.904,3.322,14.844,2,Desmodium,3,18,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,20.22559231
3,314L,2.978,5.274,13.816,2,Desmodium,4,24,Desmodium,Burera,no,-1.55,5.295992507,0.321246439
3,268L,3.078,-0.469,13.773,2,Desmodium,3,20,Desmodium + Napier,Karama,yes,-1.55,4.557221779,82.29964394
3,271L,3.02,2.901,14.518,2,Desmodium,4,22,Desmodium + Brachiaria,Karama,yes,-1.55,4.557221779,27.11907048
3,274L,2.765,3.957,15.697,2,Desmodium,4,24,Desmodium,Karama,no,-1.55,4.557221779,9.82806586
3,279L,2.718,3.262,15.951,2,Desmodium,4,28,Desmodium + maize,Karama,yes,-1.55,4.557221779,21.20803576
